view,family,source_tier,metric,budget_mode,budget_key,topology_id,sparsity_bin,pair_reuse_bin,instance_count,uncertainty_unit_count,help_count,little_effect_count,hurt_count,help_fraction,little_effect_fraction,hurt_fraction,mean_effect,effect_ci95_low,effect_ci95_high,mean_canonical_cubic_sparsity,mean_pair_reuse_score,status,config_hash,manifest_hash,analysis_config_hash,code_commit
family,cubic_spin_glass,compilation,compiled_two_qubit_depth,not_applicable,not_applicable,device_sparse_v1,intermediate,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.20833333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_depth,not_applicable,not_applicable,device_sparse_v1,low,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.19444444444444442,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,high,high,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7135416666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,high,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.47916666666666663,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,intermediate,high,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.5208333333333333,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,intermediate,intermediate,3,3,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.12207792207792208,0.421875,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,intermediate,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.20833333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,low,high,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.5166666666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,low,intermediate,3,3,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.024895572263993315,0.3152777777777778,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,low,low,5,5,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.029355206197311457,0.1522222222222222,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,high,high,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7135416666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,high,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.47916666666666663,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,intermediate,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.12597402597402596,0.39583333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,intermediate,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.20833333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,low,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.19444444444444442,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,high,high,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7135416666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,high,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.47916666666666663,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,intermediate,high,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.5208333333333333,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,intermediate,intermediate,3,3,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.12207792207792208,0.421875,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,intermediate,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.20833333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,low,high,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.5166666666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,low,intermediate,3,3,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.024895572263993315,0.3152777777777778,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
