family,representation,budget_mode,budget_key,budget_value,budget_label,warm_start_policy,pair_closure,instance_count,design_count,run_count,ci_unit,ci_method,original_objective_mean,original_objective_ci95_low,original_objective_ci95_high,paired_difference_vs_cold_mean,paired_difference_vs_cold_ci95_low,paired_difference_vs_cold_ci95_high,optimum_hit_rate_mean,optimum_hit_rate_ci95_low,optimum_hit_rate_ci95_high,encoded_energy_mean,auxiliary_inconsistency_rate_mean,mean_abs_original_margin,weak_signal_instance_count,status,config_hash,manifest_hash,code_commit
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,7,7,21,instance,instance_cluster_normal_95,-0.529875553238878,-0.7644018796425083,-0.2953492268352478,-0.024329357333228503,-0.22100389808192786,0.17234518341547087,0.0733587705529827,0.018315881865622573,0.12840165924034283,46.71000001775028,0.8603167883340802,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,original_variables_only,auxiliary_cold_half,7,7,21,instance,instance_cluster_normal_95,-0.4998126123280757,-0.7093392043258027,-0.29028602033034884,0.005733583577573787,-0.17411874288010867,0.18558591003525624,0.07494294382086356,0.01576300107317733,0.1341228865685498,47.142820873203675,0.8908526671374027,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,cold_start,not_applicable,7,7,21,instance,instance_cluster_normal_95,-0.4830959845341309,-0.7815448408799912,-0.1846471281882705,0.0,0.0,0.0,0.05646386108945143,0.008327860619564871,0.10459986155933798,47.473364928403484,0.8939226961480216,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,original_and_auxiliary_variables,independence_mu_product_ablation,7,7,21,instance,instance_cluster_normal_95,-0.7664602469259881,-1.1209643536323202,-0.41195614021965615,-0.28336426239185725,-0.73258447386809,0.16585594908437556,0.08155705338850501,0.02532016062882958,0.13779394614818044,45.79296857862472,0.8768154378072212,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,7,7,21,instance,instance_cluster_normal_95,-0.6130409212759316,-0.8425981626444705,-0.3834836799073926,-0.1299449367418007,-0.50494032200638,0.24505044852277863,0.07432890005939415,0.022260311836237646,0.12639748828255065,45.76264215318863,0.8766808715872896,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,original_variables_only,auxiliary_cold_half,7,7,21,instance,instance_cluster_normal_95,-0.7905058349722031,-1.2686615175412403,-0.31235015240316566,-0.3074098504380722,-0.9288965627549313,0.31407686187878686,0.08865905605893176,0.025943312805172078,0.15137479931269143,46.536203501764405,0.8736675047070586,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p1,1,p=1,cold_start,not_applicable,7,7,21,instance,instance_cluster_normal_95,-0.5106090014658935,-0.7338208811346324,-0.2873971217971546,0.0,0.0,0.0,0.056890772956719904,0.005972314016484313,0.10780923189695549,50.30116030640386,0.8779410504408289,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p1,1,p=1,original_and_auxiliary_variables,independence_mu_product_ablation,7,7,21,instance,instance_cluster_normal_95,-0.6929229056950597,-0.9048754943521572,-0.4809703170379621,-0.18231390422916613,-0.3314533916608126,-0.033174416797519646,0.07829049210520142,0.0262549063440701,0.13032607786633274,48.83349953490599,0.893068503712563,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p1,1,p=1,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,7,7,21,instance,instance_cluster_normal_95,-0.772625229958156,-1.2802871297694463,-0.26496333014686557,-0.2620162284922624,-0.7656448452803866,0.24161238829586168,0.08050717748168215,0.021241020519116707,0.1397733344442476,52.017530005597756,0.9008854648312753,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p1,1,p=1,original_variables_only,auxiliary_cold_half,7,7,21,instance,instance_cluster_normal_95,-0.5145177900957278,-0.7188402821665101,-0.3101952980249456,-0.00390878862983432,-0.10019301950284452,0.09237544224317588,0.06644568814601255,0.015006676709271423,0.11788469958275369,49.316912441383195,0.9042009939225978,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
